ID,PSD
1,1110768.214
2,2066183.648
3,1659186.093
4,1143829.813
5,670665.8658
6,330545.6178
7,135830.5207
8,47394.30001
9,15738.76498
10,6687.080819
11,4620.788458
12,4371.066425
13,4187.871758
14,3436.976111
15,2349.024494
16,1475.02954
17,1068.551691
18,1086.501808
19,1436.392215
20,1910.763359
21,2075.579879
22,1602.187938
23,761.0931581
24,346.4703531
25,961.1444867
26,2433.105563
27,3983.417834
28,4881.219985
29,4881.629574
30,4166.639069
31,3081.555041
32,1995.052294
33,1286.577614
34,1311.164001
35,2296.221601
36,4213.451195
37,6663.656756
38,8863.348765
39,9891.520878
40,9201.968286
41,7063.463605
42,4488.061579
43,2606.893294
44,1982.420624
45,2403.911822
46,3232.142791
47,3890.827067
48,4112.641011
49,3897.800159
50,3379.154985
51,2735.744191
52,2156.692507
53,1818.825718
54,1863.405114
55,2351.681341
56,3188.534425
57,4078.834326
58,4623.453461
59,4553.536733
60,3931.460247
61,3135.241949
62,2634.420902
63,2743.784694
64,3512.761116
65,4748.22513
66,6089.466031
67,7107.879777
68,7449.692662
69,6987.105825
70,5882.408475
71,4513.579678
72,3314.717021
73,2623.011325
74,2575.962089
75,3064.251316
76,3762.847211
77,4264.763397
78,4273.570546
79,3741.221032
80,2866.21175
81,1973.010728
82,1361.877237
83,1197.027835
84,1454.056689
85,1936.823255
86,2371.288033
87,2541.57801
88,2386.716554
89,1999.267263
90,1550.841832
91,1218.092586
92,1144.482328
93,1411.78236
94,1996.847035
95,2742.183452
96,3389.994901
97,3685.297209
98,3497.723549
99,2899.416216
100,2160.230544
101,1649.713664
102,1669.371825
103,2287.943384
104,3280.758215
105,4228.880253
106,4728.745249
107,4587.429049
108,3898.85565
109,2981.580824
110,2228.958463
111,1942.240278
112,2209.789663
113,2880.291604
114,3642.553981
115,4169.821201
116,4252.949485
117,3867.418784
118,3168.595246
119,2434.923639
120,1971.426755
121,1987.20411
122,2491.007722
123,3269.587552
124,3979.311642
125,4309.187933
126,4126.406697
127,3530.584965
128,2797.800104
129,2248.260819
130,2101.818679
131,2389.123635
132,2957.507086
133,3557.035952
134,3949.768326
135,3989.376472
136,3657.456088
137,3068.065679
138,2440.423177
139,2025.080343
140,1992.286355
141,2337.839064
142,2873.985253
143,3323.765668
144,3465.732547
145,3243.287283
146,2779.914132
147,2300.672669
148,2011.42425
149,2005.091396
150,2241.341097
151,2595.351995
152,2928.365836
153,3132.921035
154,3145.327566
155,2951.319786
156,2601.018992
157,2214.075361
158,1945.40272
159,1914.537803
160,2140.924257
161,2529.253273
162,2913.571398
163,3132.824144
164,3099.909727
165,2836.120512
166,2458.555646
167,2126.085505
168,1968.538855
169,2032.975907
170,2270.314077
171,2562.85549
172,2776.194826
173,2814.196657
174,2656.688881
175,2363.895664
176,2045.547509
177,1813.0534
178,1741.343302
179,1852.02243
180,2109.036641
181,2418.95675
182,2647.50908
183,2668.916436
184,2436.242321
185,2026.1605
186,1614.454317
187,1386.050116
188,1434.285733
189,1713.234248
190,2069.293189
191,2326.868024
192,2374.195846
193,2203.452125
194,1894.064879
195,1564.019206
196,1324.812208
197,1255.878412
198,1387.91113
199,1683.300169
200,2027.066155
201,2257.571029
202,2242.572547
203,1959.815152
204,1522.391922
205,1123.494882
206,933.8473945
207,1016.176008
208,1303.222659
209,1641.766511
210,1870.256309
211,1888.589697
212,1691.228621
213,1357.411933
214,1012.074592
215,778.0087034
216,733.7188846
217,884.2595922
218,1153.690709
219,1410.215743
220,1523.29036
221,1427.770423
222,1157.116638
223,824.1806482
224,562.5589257
225,463.9366178
226,542.1718739
227,734.882573
228,936.3271697
229,1046.088792
230,1012.66639
231,851.8099732
232,631.9003973
233,437.6032138
234,333.135032
235,340.6072827
236,436.7248906
237,564.9438044
238,659.3509495
239,672.9924839
240,597.8243154
241,465.3543405
